2025-09-14 18:34:03 | INFO | root | Aplicação iniciada
2025-09-14 18:34:17 | INFO | root | Coleta iniciada: intervalo=2 duracao=0 gpu_index= csv_path=.\logs\gpu_log.csv overwrite=False
2025-09-14 18:34:17 | INFO | root | sample written: 2025-09-14T18:34:17,1,4,12282,1522,46,10.49
2025-09-14 18:34:19 | INFO | root | sample written: 2025-09-14T18:34:19,0,4,12282,1522,46,10.38
2025-09-14 18:34:21 | INFO | root | sample written: 2025-09-14T18:34:21,0,3,12282,1522,46,10.52
2025-09-14 18:34:23 | INFO | root | sample written: 2025-09-14T18:34:23,1,5,12282,1515,46,10.44
2025-09-14 18:34:24 | INFO | root | Coleta parada pelo usuário
2025-09-14 18:44:16 | INFO | root | Aplicação iniciada
2025-09-14 18:46:51 | INFO | root | Coleta iniciada: intervalo=2 duracao=0 gpu_index= csv_path=.\logs\gpu_log.csv overwrite=False
2025-09-14 18:46:51 | INFO | root | sample written: 2025-09-14T18:46:51,6,4,12282,1541,45,10.66
2025-09-14 18:46:53 | INFO | root | sample written: 2025-09-14T18:46:53,0,0,12282,1707,46,30.49
2025-09-14 18:46:55 | INFO | root | sample written: 2025-09-14T18:46:55,2,0,12282,2364,46,29.14
2025-09-14 18:46:57 | INFO | root | sample written: 2025-09-14T18:46:57,10,6,12282,3196,45,15.38
2025-09-14 18:46:59 | INFO | root | sample written: 2025-09-14T18:46:59,9,6,12282,4021,45,15.35
2025-09-14 18:47:01 | INFO | root | sample written: 2025-09-14T18:47:01,11,8,12282,4828,46,19.75
2025-09-14 18:47:03 | INFO | root | sample written: 2025-09-14T18:47:03,30,2,12282,5180,46,31.72
2025-09-14 18:47:05 | INFO | root | sample written: 2025-09-14T18:47:05,12,3,12282,4995,46,21.31
2025-09-14 18:47:07 | INFO | root | sample written: 2025-09-14T18:47:07,10,7,12282,5586,46,16.39
2025-09-14 18:47:09 | INFO | root | sample written: 2025-09-14T18:47:09,0,0,12282,6129,45,11.34
2025-09-14 18:47:11 | INFO | root | sample written: 2025-09-14T18:47:11,97,45,12282,11728,59,121.63
2025-09-14 18:47:13 | INFO | root | sample written: 2025-09-14T18:47:13,21,9,12282,11726,59,128.18
2025-09-14 18:47:15 | INFO | root | sample written: 2025-09-14T18:47:15,42,11,12282,11726,56,136.99
2025-09-14 18:47:17 | INFO | root | sample written: 2025-09-14T18:47:17,100,15,12282,11730,58,137.85
2025-09-14 18:47:19 | INFO | root | sample written: 2025-09-14T18:47:19,77,28,12282,11730,53,127.03
2025-09-14 18:47:21 | INFO | root | sample written: 2025-09-14T18:47:21,43,11,12282,11730,59,137.78
2025-09-14 18:47:23 | INFO | root | sample written: 2025-09-14T18:47:23,42,11,12282,11726,60,131.60
2025-09-14 18:47:25 | INFO | root | sample written: 2025-09-14T18:47:25,56,24,12282,11730,54,128.68
2025-09-14 18:47:27 | INFO | root | sample written: 2025-09-14T18:47:27,23,9,12282,11730,61,137.28
2025-09-14 18:47:29 | INFO | root | sample written: 2025-09-14T18:47:29,44,12,12282,11726,62,139.27
2025-09-14 18:47:31 | INFO | root | sample written: 2025-09-14T18:47:31,100,34,12282,11707,59,126.02
2025-09-14 18:47:33 | INFO | root | sample written: 2025-09-14T18:47:33,45,14,12282,11710,55,108.76
2025-09-14 18:47:35 | INFO | root | sample written: 2025-09-14T18:47:35,98,70,12282,11604,55,129.88
2025-09-14 18:47:37 | INFO | root | sample written: 2025-09-14T18:47:37,98,40,12282,11636,69,191.16
2025-09-14 18:47:39 | INFO | root | sample written: 2025-09-14T18:47:39,99,33,12282,11636,70,191.12
2025-09-14 18:47:41 | INFO | root | sample written: 2025-09-14T18:47:41,98,26,12282,11636,67,193.22
2025-09-14 18:47:43 | INFO | root | sample written: 2025-09-14T18:47:43,97,34,12282,11636,67,193.22
2025-09-14 18:47:45 | INFO | root | sample written: 2025-09-14T18:47:45,100,2,12282,11636,68,193.54
2025-09-14 18:47:47 | INFO | root | sample written: 2025-09-14T18:47:47,100,23,12282,11766,70,191.84
2025-09-14 18:47:49 | INFO | root | sample written: 2025-09-14T18:47:49,94,30,12282,11748,69,186.53
2025-09-14 18:47:51 | INFO | root | sample written: 2025-09-14T18:47:51,89,34,12282,11678,68,187.54
2025-09-14 18:47:53 | INFO | root | sample written: 2025-09-14T18:47:53,100,2,12282,11678,71,186.14
2025-09-14 18:47:55 | INFO | root | sample written: 2025-09-14T18:47:55,92,57,12282,11769,66,183.28
2025-09-14 18:47:57 | INFO | root | sample written: 2025-09-14T18:47:57,83,34,12282,11766,68,186.61
2025-09-14 18:47:59 | INFO | root | sample written: 2025-09-14T18:47:59,100,2,12282,11776,72,185.44
2025-09-14 18:48:01 | INFO | root | sample written: 2025-09-14T18:48:01,94,38,12282,11682,68,183.57
2025-09-14 18:48:03 | INFO | root | sample written: 2025-09-14T18:48:03,92,20,12282,11682,69,187.01
2025-09-14 18:48:05 | INFO | root | sample written: 2025-09-14T18:48:05,94,40,12282,11696,68,193.59
2025-09-14 18:48:07 | INFO | root | sample written: 2025-09-14T18:48:07,97,14,12282,11696,70,195.34
2025-09-14 18:48:09 | INFO | root | sample written: 2025-09-14T18:48:09,98,2,12282,11696,66,197.52
2025-09-14 18:48:11 | INFO | root | sample written: 2025-09-14T18:48:11,100,2,12282,11696,66,195.80
2025-09-14 18:48:13 | INFO | root | sample written: 2025-09-14T18:48:13,100,2,12282,11696,68,195.75
2025-09-14 18:48:15 | INFO | root | sample written: 2025-09-14T18:48:15,100,2,12282,11695,72,196.26
2025-09-14 18:48:17 | INFO | root | sample written: 2025-09-14T18:48:17,100,38,12282,11778,71,193.09
2025-09-14 18:48:19 | INFO | root | sample written: 2025-09-14T18:48:19,93,31,12282,11757,67,184.92
2025-09-14 18:48:21 | INFO | root | sample written: 2025-09-14T18:48:21,86,28,12282,11778,67,153.68
2025-09-14 18:48:23 | INFO | root | sample written: 2025-09-14T18:48:23,94,17,12282,11781,69,188.31
2025-09-14 18:48:25 | INFO | root | sample written: 2025-09-14T18:48:25,95,62,12282,11737,71,182.15
2025-09-14 18:48:27 | INFO | root | sample written: 2025-09-14T18:48:27,91,30,12282,11730,67,186.85
